protein,tissue,scl,score
54822,BTO:0000007,GO:0005886,4.07047558658
207,BTO:0000093,GO:0005634,4.0702047503
5122,BTO:0001061,GO:0005886,4.06375670757
6720,BTO:0000599,GO:0005634,4.06280378357
3553,BTO:0000018,GO:0005634,4.05761641368
6786,BTO:0000007,GO:0005886,4.04484759111
4124,BTO:0000007,GO:0005794,4.04438605763
5451,BTO:0000567,GO:0005634,4.04005847352
3725,BTO:0000599,GO:0005634,4.02555833953
54205,BTO:0000793,GO:0005829,4.02276010141
10565,BTO:0000599,GO:0005634,4.01812586647
1302,BTO:0000018,GO:0005739,4.01645026397
4192,BTO:0000599,GO:0005634,4.01494909295
338382,BTO:0000007,GO:0031982,4.01106194633
27043,BTO:0000093,GO:0005737,4.00914236311
6774,BTO:0000018,GO:0005634,4.00593946004
1956,BTO:0000018,GO:0005634,4.00395836873
57817,BTO:0000195,GO:0005886,3.99870265011
57332,BTO:0001061,GO:0005737,3.99637166693
4318,BTO:0000018,GO:0005634,3.99467404945
10804,BTO:0000567,GO:0030054,3.98576120761
836,BTO:0000093,GO:0005829,3.97300212064
1069,BTO:0000567,GO:0005856,3.9726054773
29108,BTO:0000552,GO:0005737,3.97197454341
4926,BTO:0000567,GO:0005856,3.96038677039
9451,BTO:0000093,GO:0005783,3.95587267335
3958,BTO:0001061,GO:0005925,3.95538201965
8161,BTO:0000567,GO:0005634,3.95521721558
842,BTO:0000793,GO:0005739,3.93739606143
79174,BTO:0000007,GO:0005794,3.93710134977
1950,BTO:0000017,GO:0031982,3.92399714459
23237,BTO:0000793,GO:0005856,3.92391686124
5122,BTO:0001061,GO:0005925,3.92049661036
581,BTO:0000093,GO:0005634,3.91695023983
5594,BTO:0000793,GO:0005634,3.91125374462
3569,BTO:0000195,GO:0005886,3.90751284471
113278,BTO:0000195,GO:0005886,3.9057306453
4214,BTO:0000195,GO:0030054,3.90148810139
842,BTO:0000093,GO:0005829,3.89747980193
836,BTO:0000018,GO:0005634,3.87566576005
773,BTO:0000007,GO:0005886,3.87511688702
7409,BTO:0002136,GO:0005634,3.86912381721
1649,BTO:0000093,GO:0005783,3.8667303596
9971,BTO:0000599,GO:0005634,3.86449702125
51199,BTO:0000567,GO:0005856,3.86274809532
2026,BTO:0001061,GO:0005829,3.86246894696
5062,BTO:0000017,GO:0005739,3.85947307398
6462,BTO:0000093,GO:0005886,3.85607749061
2316,BTO:0000944,GO:0005856,3.83578704269
2309,BTO:0000093,GO:0005634,3.83490575645
2335,BTO:0000093,GO:0005925,3.82698151418
5321,BTO:0000018,GO:0005829,3.82247061281
7157,BTO:0000093,GO:0005856,3.81911930556
9970,BTO:0000599,GO:0005634,3.81116535974
19,BTO:0000195,GO:0005886,3.80906417036
3226,BTO:0000195,GO:0030054,3.77514153133
10226,BTO:0000567,GO:0031982,3.76764868283
