protein,tissue,scl,score
5467,BTO:0002870,GO:0031982,3.27703638297
6541,BTO:0000007,GO:0005886,3.27165912955
375611,BTO:0000007,GO:0005886,3.27059158489
8815,BTO:0000567,GO:0005634,3.26478625235
79784,BTO:0000195,GO:0030054,3.26422983571
142,BTO:0000018,GO:0005739,3.25755502743
10564,BTO:0000599,GO:0005794,3.25647726416
5970,BTO:0000195,GO:0005634,3.25450332076
3309,BTO:0000567,GO:0005783,3.25430263652
2099,BTO:0000093,GO:0005856,3.24615420895
842,BTO:0000567,GO:0005829,3.23961038564
51280,BTO:0000599,GO:0005794,3.23507876534
2670,BTO:0002035,GO:0005856,3.22980226601
1499,BTO:0000093,GO:0005634,3.22545587707
7421,BTO:0000093,GO:0005634,3.22360188573
1956,BTO:0000017,GO:0005829,3.22063348876
813,BTO:0000552,GO:0005794,3.21946912424
4907,BTO:0000567,GO:0005886,3.21743218199
2099,BTO:0000093,GO:0005886,3.21125389133
100126572,BTO:0000567,GO:0030054,3.20737508546
3630,BTO:0000599,GO:0005634,3.20083619966
309,BTO:0000017,GO:0005886,3.19419493732
83874,BTO:0000018,GO:0031982,3.19066718362
30968,BTO:0002210,GO:0005829,3.18352757534
5914,BTO:0002136,GO:0005634,3.1834102651
5122,BTO:0001061,GO:0005737,3.16776351932
801,BTO:0000567,GO:0005856,3.1601136178
3312,BTO:0000567,GO:0005634,3.15651369902
100463285,BTO:0000552,GO:0005634,3.14723966356
5468,BTO:0000793,GO:0031982,3.1418238759
5817,BTO:0000944,GO:0005925,3.13532924761
5829,BTO:0000793,GO:0005856,3.13522476829
5594,BTO:0000195,GO:0005634,3.12887084628
100463498,BTO:0000552,GO:0005634,3.12504254875
2861,BTO:0000007,GO:0005783,3.12053305244
5599,BTO:0000018,GO:0005634,3.11631251771
2335,BTO:0000017,GO:0005856,3.11485398706
9844,BTO:0000944,GO:0005925,3.11290580333
2706,BTO:0000567,GO:0005886,3.10794728982
79805,BTO:0000599,GO:0005634,3.10069563002
27173,BTO:0001061,GO:0005886,3.09028118615
5310,BTO:0000195,GO:0030054,3.08466448603
6774,BTO:0000599,GO:0005634,3.08181266052
154,BTO:0000007,GO:0005886,3.07900389937
4277,BTO:0000599,GO:0031982,3.07667616666
2166,BTO:0000567,GO:0005886,3.07603369453
6331,BTO:0000007,GO:0005886,3.07088709384
5594,BTO:0000599,GO:0005634,3.06437329636
