EntrezID;Tissue;SCL
7532;BTO:0000142;GO:0005886
7532;BTO:0001253;GO:0005737
7532;BTO:0001253;GO:0005634
7532;BTO:0000763;GO:0005634
7531;BTO:0000142;GO:0005783
7531;BTO:0000142;GO:0005634
7531;BTO:0000142;GO:0005886
7531;BTO:0000763;GO:0005634
7531;BTO:0000269;GO:0005634
7531;BTO:0000671;GO:0005783
7531;BTO:0000671;GO:0005886
6207;BTO:0000142;GO:0005886
6207;BTO:0000671;GO:0005886
6844;BTO:0000142;GO:0005856
6844;BTO:0000142;GO:0005737
6844;BTO:0000142;GO:0005783
6844;BTO:0000142;GO:0005886
6844;BTO:0000142;GO:0031982
6844;BTO:0000140;GO:0031982
6844;BTO:0000763;GO:0031982
6844;BTO:0000759;GO:0031982
6844;BTO:0000671;GO:0005886
6844;BTO:0000671;GO:0031982
140885;BTO:0000140;GO:0005886
140885;BTO:0000671;GO:0005856
3889;BTO:0000763;GO:0005634
2647;BTO:0000142;GO:0005886
2647;BTO:0000142;GO:0031982
2647;BTO:0000759;GO:0005737
2647;BTO:0000759;GO:0031982
2647;BTO:0000671;GO:0005886
5310;BTO:0000140;GO:0005634
5310;BTO:0000763;GO:0005886
5310;BTO:0000269;GO:0005856
5310;BTO:0000759;GO:0005856
5310;BTO:0000759;GO:0005783
5310;BTO:0000759;GO:0031982
5310;BTO:0000671;GO:0005856
5310;BTO:0000671;GO:0005737
5310;BTO:0000671;GO:0005783
5310;BTO:0000671;GO:0005634
5310;BTO:0000671;GO:0005886
5310;BTO:0000671;GO:0031982
774;BTO:0000142;GO:0005737
774;BTO:0000142;GO:0005634
4919;BTO:0000142;GO:0005886
4919;BTO:0000763;GO:0005886
4920;BTO:0000140;GO:0005783
4920;BTO:0000140;GO:0005886
5966;BTO:0000763;GO:0005634
5966;BTO:0000671;GO:0005634
7533;BTO:0000142;GO:0005856
7533;BTO:0000142;GO:0005783
7533;BTO:0000142;GO:0005794
7533;BTO:0000142;GO:0005634
7533;BTO:0000763;GO:0005634
7533;BTO:0000671;GO:0005783
5720;BTO:0000142;GO:0005886
5720;BTO:0000671;GO:0005783
5720;BTO:0000671;GO:0005886
5142;BTO:0000142;GO:0005737
5142;BTO:0000763;GO:0005737
5142;BTO:0000759;GO:0005737
5142;BTO:0000671;GO:0005737
5142;BTO:0000671;GO:0005634
89;BTO:0000671;GO:0005634
5996;BTO:0000142;GO:0005634
5996;BTO:0000759;GO:0005886
5996;BTO:0000671;GO:0005886
3702;BTO:0000763;GO:0005737
3757;BTO:0000142;GO:0005783
3757;BTO:0000140;GO:0005886
3757;BTO:0000269;GO:0005886
3757;BTO:0000671;GO:0005737
3757;BTO:0000671;GO:0005783
3757;BTO:0000671;GO:0005794
3757;BTO:0000671;GO:0005886
10966;BTO:0000142;GO:0031982
10966;BTO:0000671;GO:0031982
8073;BTO:0000142;GO:0005886
8073;BTO:0000763;GO:0005634
8073;BTO:0000759;GO:0005634
8073;BTO:0000671;GO:0005886
3937;BTO:0000763;GO:0005737
3937;BTO:0000759;GO:0005886
8100;BTO:0000140;GO:0005856
10062;BTO:0000140;GO:0005634
10062;BTO:0000763;GO:0005634
10062;BTO:0000759;GO:0005856
10062;BTO:0000759;GO:0005783
10062;BTO:0000759;GO:0005634
10062;BTO:0000759;GO:0005886
5708;BTO:0000142;GO:0005783
5708;BTO:0000142;GO:0005634
5708;BTO:0000142;GO:0005886
5708;BTO:0001253;GO:0005737
5708;BTO:0001253;GO:0005634
2904;BTO:0000142;GO:0005856
2904;BTO:0000142;GO:0005783
2904;BTO:0000142;GO:0005886
2904;BTO:0000759;GO:0005886
2904;BTO:0000671;GO:0005886
638;BTO:0000759;GO:0005737
638;BTO:0000759;GO:0005783
638;BTO:0000671;GO:0005737
638;BTO:0000671;GO:0005783
23542;BTO:0000142;GO:0031982
23542;BTO:0000763;GO:0005737
8751;BTO:0000269;GO:0005886
8751;BTO:0000759;GO:0005634
214;BTO:0000759;GO:0005737
214;BTO:0000759;GO:0005634
214;BTO:0000671;GO:0005886
23406;BTO:0000142;GO:0005886
23406;BTO:0000763;GO:0005856
23406;BTO:0000763;GO:0005737
23406;BTO:0000671;GO:0005737
23406;BTO:0000671;GO:0005886
3745;BTO:0000142;GO:0005783
3745;BTO:0000142;GO:0005886
5526;BTO:0000142;GO:0005634
23475;BTO:0000142;GO:0005886
23475;BTO:0000671;GO:0005886
6923;BTO:0000142;GO:0005886
6923;BTO:0000671;GO:0005783
6923;BTO:0000671;GO:0005886
6263;BTO:0000142;GO:0005783
6263;BTO:0000142;GO:0005634
7016;BTO:0000759;GO:0005886
6804;BTO:0000142;GO:0005856
6804;BTO:0000142;GO:0005737
6804;BTO:0000142;GO:0005886
6804;BTO:0000142;GO:0031982
6804;BTO:0000763;GO:0031982
6804;BTO:0000269;GO:0005886
6804;BTO:0000671;GO:0005886
6804;BTO:0000671;GO:0031982
1847;BTO:0000142;GO:0005634
11099;BTO:0000123;GO:0005856
11099;BTO:0000123;GO:0005886
1848;BTO:0001253;GO:0005737
1848;BTO:0001253;GO:0005634
1848;BTO:0000123;GO:0005737
9296;BTO:0000142;GO:0005886
9296;BTO:0000671;GO:0005886
112936;BTO:0000671;GO:0005737
25959;BTO:0001253;GO:0005634
729873;BTO:0000671;GO:0005856
84942;BTO:0000142;GO:0005737
84942;BTO:0000671;GO:0005737
282991;BTO:0000759;GO:0005737
152559;BTO:0000142;GO:0005794
152559;BTO:0000140;GO:0005794
152559;BTO:0001253;GO:0005794
152559;BTO:0000759;GO:0005783
152559;BTO:0000759;GO:0005794
23191;BTO:0000142;GO:0005856
23191;BTO:0000142;GO:0031982
342372;BTO:0000671;GO:0005886
1954;BTO:0000142;GO:0005886
1954;BTO:0000671;GO:0005886
4892;BTO:0001253;GO:0005856
4892;BTO:0000763;GO:0005856
4817;BTO:0000142;GO:0005886
4817;BTO:0000759;GO:0005737
4817;BTO:0000671;GO:0005886
353376;BTO:0000140;GO:0005737
353376;BTO:0000140;GO:0005794
353376;BTO:0000140;GO:0005886
55739;BTO:0000759;GO:0005737
55739;BTO:0000759;GO:0005783
728294;BTO:0000142;GO:0005737
283238;BTO:0000142;GO:0031982
283238;BTO:0000759;GO:0031982
25791;BTO:0000142;GO:0005634
79734;BTO:0000142;GO:0005783
57126;BTO:0000140;GO:0005886
25870;BTO:0001253;GO:0005783
91947;BTO:0001253;GO:0005886
7442;BTO:0000142;GO:0005783
7442;BTO:0000142;GO:0005634
7442;BTO:0000142;GO:0005886
7442;BTO:0000763;GO:0005856
7442;BTO:0000763;GO:0005737
7442;BTO:0000763;GO:0005783
7442;BTO:0000759;GO:0005783
7442;BTO:0000759;GO:0005886
7442;BTO:0000671;GO:0005783
9185;BTO:0000142;GO:0005737
9185;BTO:0000763;GO:0005856
582;BTO:0000671;GO:0005856
582;BTO:0000671;GO:0005634
582;BTO:0000671;GO:0005886
92797;BTO:0000142;GO:0005634
92797;BTO:0000759;GO:0005634
92797;BTO:0000671;GO:0005634
96459;BTO:0000763;GO:0005634
96459;BTO:0000671;GO:0005634
84932;BTO:0000142;GO:0005783
84932;BTO:0001253;GO:0005737
84932;BTO:0001253;GO:0005634
84932;BTO:0000763;GO:0005783
84932;BTO:0000269;GO:0005783
84932;BTO:0000759;GO:0005783
84932;BTO:0000671;GO:0005783
158471;BTO:0000142;GO:0005856
158471;BTO:0000142;GO:0005737
257364;BTO:0000142;GO:0005886
143241;BTO:0000142;GO:0031982
414061;BTO:0000142;GO:0005886
414061;BTO:0000671;GO:0005886
83593;BTO:0000763;GO:0005856
7273;BTO:0001253;GO:0005856
7273;BTO:0000671;GO:0005783
399687;BTO:0000140;GO:0005794
22920;BTO:0000142;GO:0005856
22920;BTO:0000142;GO:0005783
22920;BTO:0000142;GO:0005634
22920;BTO:0000142;GO:0005886
22920;BTO:0000140;GO:0005634
22920;BTO:0000671;GO:0005886
8239;BTO:0000142;GO:0005794
8239;BTO:0000763;GO:0005783
8239;BTO:0000763;GO:0005634
8239;BTO:0000759;GO:0005737
114569;BTO:0000142;GO:0005886
114569;BTO:0000763;GO:0031982
114569;BTO:0000759;GO:0005856
114569;BTO:0000759;GO:0031982
114569;BTO:0000671;GO:0005856
114569;BTO:0000671;GO:0005886
114569;BTO:0000671;GO:0031982
79590;BTO:0000763;GO:0005634
57561;BTO:0001253;GO:0005886
54984;BTO:0000142;GO:0005634
10807;BTO:0000269;GO:0005886
84876;BTO:0000140;GO:0005783
84876;BTO:0000140;GO:0005634
84876;BTO:0000140;GO:0005886
84876;BTO:0001253;GO:0005737
84876;BTO:0001253;GO:0005783
84876;BTO:0001253;GO:0005886
84876;BTO:0000763;GO:0005783
84876;BTO:0000763;GO:0005886
84876;BTO:0000671;GO:0005737
84876;BTO:0000671;GO:0005783
84876;BTO:0000671;GO:0005634
84876;BTO:0000671;GO:0005886
112483;BTO:0000142;GO:0005886
112483;BTO:0000671;GO:0005886
140735;BTO:0000142;GO:0005856
140735;BTO:0000142;GO:0005794
55768;BTO:0000759;GO:0005737
55768;BTO:0000759;GO:0005783
65266;BTO:0000142;GO:0005886
65266;BTO:0000142;GO:0031982
65266;BTO:0000671;GO:0005886
128434;BTO:0000142;GO:0005856
85440;BTO:0000140;GO:0005737
85440;BTO:0000140;GO:0005783
51676;BTO:0000142;GO:0031982
51676;BTO:0000759;GO:0031982
84687;BTO:0000142;GO:0005856
84687;BTO:0000142;GO:0005737
84687;BTO:0000142;GO:0005634
84687;BTO:0000671;GO:0005856
84687;BTO:0000671;GO:0005737
84687;BTO:0000671;GO:0005634
84687;BTO:0000671;GO:0005886
1441;BTO:0000140;GO:0005886
26469;BTO:0000763;GO:0005737
8508;BTO:0000671;GO:0005886
81873;BTO:0000142;GO:0005856
81873;BTO:0000142;GO:0005886
81873;BTO:0000671;GO:0005886
84528;BTO:0000142;GO:0005886
51763;BTO:0000142;GO:0005783
51763;BTO:0000142;GO:0005886
51763;BTO:0000671;GO:0005856
51763;BTO:0000671;GO:0005737
51763;BTO:0000671;GO:0005783
51763;BTO:0000671;GO:0005794
51763;BTO:0000671;GO:0005634
51763;BTO:0000671;GO:0005886
23208;BTO:0000142;GO:0005783
23208;BTO:0000142;GO:0031982
6904;BTO:0000142;GO:0005634
6904;BTO:0000759;GO:0005634
11235;BTO:0000142;GO:0005856
11235;BTO:0000142;GO:0005737
11235;BTO:0000142;GO:0005886
11235;BTO:0000142;GO:0031982
11235;BTO:0000671;GO:0005886
8673;BTO:0000142;GO:0005886
8673;BTO:0000142;GO:0031982
8673;BTO:0000763;GO:0031982
8673;BTO:0000759;GO:0031982
8673;BTO:0000671;GO:0005886
8673;BTO:0000671;GO:0031982
65991;BTO:0000142;GO:0005783
23348;BTO:0000142;GO:0005634
23348;BTO:0000759;GO:0005634
56001;BTO:0000142;GO:0005634
55503;BTO:0000142;GO:0005737
55503;BTO:0000142;GO:0005783
55503;BTO:0000142;GO:0005886
55503;BTO:0000140;GO:0005783
55503;BTO:0000140;GO:0005886
55503;BTO:0000269;GO:0005886
55503;BTO:0000759;GO:0005886
55503;BTO:0000671;GO:0005737
55503;BTO:0000671;GO:0005783
55503;BTO:0000671;GO:0005886
3781;BTO:0000763;GO:0005783
3781;BTO:0000759;GO:0005886
79735;BTO:0000671;GO:0005856
5119;BTO:0000142;GO:0005886
5119;BTO:0000671;GO:0005737
5119;BTO:0000671;GO:0005886
